Shot,Reel,V,C,Source In,Source Out,Record In,Record Out
1,1,V,C,00:00:00:00,00:00:18:24,00:00:00:00,00:00:18:24
2,1,V,C,00:00:18:24,00:00:26:16,00:00:18:24,00:00:26:16
3,1,V,C,00:00:26:16,00:00:36:01,00:00:26:16,00:00:36:01
4,1,V,C,00:00:36:01,00:00:41:03,00:00:36:01,00:00:41:03
5,1,V,C,00:00:41:03,00:00:51:01,00:00:41:03,00:00:51:01
6,1,V,C,00:00:51:01,00:01:05:04,00:00:51:01,00:01:05:04
7,1,V,C,00:01:05:04,00:01:12:24,00:01:05:04,00:01:12:24
8,1,V,C,00:01:12:24,00:01:33:02,00:01:12:24,00:01:33:02
9,1,V,C,00:01:33:02,00:01:39:17,00:01:33:02,00:01:39:17
10,1,V,C,00:01:39:17,00:01:44:04,00:01:39:17,00:01:44:04
