cluster,size,percent,L,A,B,r,g,b
3,220,0.203,24.98240539,25.61355118,8.093698582,96.97677961501299,41.97621762559596,48.163821806573075
4,168,0.155,9.739944579,-1.5798966379999992,-2.8984048439999994,22.45579605071815,27.75876663836701,30.763523732446906
6,165,0.152,26.50099787,-5.816178386000001,-0.7959932649999999,51.99162726550765,65.35812990719201,63.707348316259875
1,154,0.142,13.88058835,16.33463452,-27.36607569,33.677756343008355,29.03720034874014,73.97928033609223
5,117,0.108,55.33077002,37.28949286,23.27357138,201.1283181370158,104.49531237079678,94.24504146438142
8,115,0.106,16.78516168,11.07859899,5.128456767,58.68810556873823,35.27896799952123,34.53669364742624
7,67,0.062,44.48661262,-9.001779840999998,-3.9897755270000004,84.11945637074302,109.89450780584264,111.49756005679637
9,46,0.042,57.75927129,17.11311514,43.07505053,186.02154110353973,125.95470575417,62.567362674256096
2,33,0.03,38.00166788,31.83814145,-10.50958197,130.72067849600086,68.71507216806086,107.10269846707224
