Genre,Rank,Released,Title, Gross ($)
Horror,1,2017,It,334783459
Horror,2,2019,It: Chapter Two,211824221
Horror,3,2018,A Quiet Place,189262720
Horror,4,2017,Get Out,179752944
Horror,5,2018,Halloween,160409948
Horror,6,2017,Split,141221659
Horror,7,2018,The Nun,118223666
Horror,8,2016,The Conjuring 2: The Enfield Poltergeist,108630057
Horror,9,2017,Annabelle: Creation,104368502
Horror,10,2016,Don’t Breathe,94581260
Horror,11,2015,Goosebumps,87072176
Horror,12,2016,The Purge: Election Year,83794121
Horror,13,2017,Alien: Covenant,75917816
Horror,14,2019,Annabelle Comes Home,74233543
Horror,15,2016,Lights Out,71312742
Horror,16,2015,The Visit,70930014
Horror,17,2018,The First Purge,69946412
Horror,18,2019,Scary Stories to Tell in the Dark,69022342
Horror,19,2018,Insidious: The Last Key,68191513
Horror,20,2019,Escape Room,57163185
Drama,1,2018,Bohemian Rhapsody,217582395
Drama,2,2018,A Star is Born,216629155
Drama,3,2015,Cinderella,218808763
Drama,4,2016,Hidden Figures,173464085
Drama,5,2015,Fifty Shades of Grey,180753676
Drama,6,2019,Knives Out,165506102
Drama,7,2015,Straight Outta Compton,175348006
Drama,8,2017,Wonder,135204708
Drama,9,2016,Sully,132585151
Drama,10,2019,Ford v. Ferrari,117744405
Drama,11,2018,Creed II,115715889
Drama,12,2017,Fifty Shades Darker,116985486
Drama,13,2015,Creed,119115925
Drama,14,2019,Little Women,108172915
Drama,15,2019,Hustlers,105078177
Drama,16,2018,The Mule,104273335
Drama,17,2017,Murder on the Orient Express,105084541
Drama,18,2016,Arrival,106274560
Drama,19,2018,Fifty Shades Freed,101069062
Drama,20,2019,Downton Abbey,96959600
Action,1,2019,Avengers: Endgame,859310090
Action,2,2015,Jurassic World,709564064
Action,3,2018,Black Panther,704670273
Action,4,2018,Avengers: Infinity War,683286273
Action,5,2015,Avengers: Age of Ultron,499298192
Action,6,2016,Captain America: Civil War,432616584
Action,7,2019,Captain Marvel,427295810
Action,8,2017,Wonder Woman,421762146
Action,9,2018,Jurassic World: Fallen Kingdom,420470937
Action,10,2017,Guardians of the Galaxy Vol 2,398504578
Action,11,2019,Spider-Man: Far From Home,390958429
Action,12,2016,Deadpool,384896922
Action,13,2015,Furious 7,383994584
Action,14,2016,Batman v Superman: Dawn of Justice,350219998
Action,15,2016,Suicide Squad,344643639
Action,16,2017,Spider-Man: Homecoming,341652669
Action,17,2018,Aquaman,336521320
Action,18,2018,Deadpool 2,326729117
Action,19,2017,Thor: Ragnarok,322022771
Action,20,2016,Doctor Strange,246531479
